"OID","nb_accident","X","Y"
221,0,296988.153645235,5041979.50357001
222,0,296988.484092664,5043344.02834854
223,0,296988.931125982,5043358.52810655
224,1,296990.010920531,5042750.580932
225,0,296994.597990007,5043870.58341898
226,0,296995.900866426,5043355.58252136
227,0,296997.405258703,5043354.19088096
228,0,297004.623069224,5043347.51403422
229,0,297005.69084557,5041580.99796446
230,0,297024.312569735,5042040.50465872
231,1,297035.367300662,5042820.78611161
232,0,297036.81124549,5043935.76307254
233,0,297040.312336693,5042446.57073702
234,0,297047.636530569,5043408.29712034
235,0,297053.007604946,5043402.18750007
236,0,297055.179822479,5043175.15561893
237,0,297061.913741656,5043974.32828347
238,0,297064.279287385,5043421.66198879
239,0,297067.750356019,5041795.64992844
240,0,297070.801900656,5042102.95627394
241,0,297072.19664353,5043484.52091516
242,0,297074.386846312,5042882.03771222
243,0,297078.911089146,5042506.07198669
244,0,297083.262845445,5043296.23722952
245,0,297090.594035809,5041831.95054472
246,0,297095.748214594,5041525.06805129
247,0,297107.206827166,5043460.57760725
248,0,297116.293170138,5042179.2109733
249,5,297116.649711109,5044059.19952821
250,0,297119.712486374,5042964.57913851
251,0,297120.575685513,5043446.70674258
252,0,297121.41494585,5042570.57384698
253,0,297121.717445636,5041801.49686114
254,0,297126.000422075,5041892.99736581
255,0,297158.208813163,5043024.5762104
256,0,297161.089639943,5041951.99853391
257,0,297162.194083214,5043545.41996443
258,0,297165.913572684,5042638.07824841
259,0,297170.030384298,5044145.26993559
260,1,297170.763159914,5042285.75241899
261,0,297174.180956752,5043445.12261885
262,0,297178.239448414,5043242.83174751
263,0,297181.313044244,5042279.07792401
264,0,297181.740763714,5043408.71369717
265,0,297184.1563076,5042137.38043069
266,0,297187.298329185,5043418.08214927
267,0,297196.20550536,5043082.57934888
268,0,297204.887222852,5042021.71213864
269,0,297205.768057656,5043499.51229073
270,0,297207.480707157,5042340.85535583
271,1,297208.791582943,5043620.02459293
272,0,297214.840957825,5044210.54777902
273,0,297220.940486152,5042361.05961724
274,0,297226.523410238,5041912.09878293
275,0,297228.434990898,5041806.5012831
276,0,297234.912545015,5043660.17698045
277,0,297237.753440511,5041827.99799933
278,0,297242.973552203,5043493.74002432
279,0,297241.996352807,5044423.08529719
280,0,297243.817824704,5043351.99048703
281,0,297244.193603725,5042400.24071749
282,1,297248.219000758,5042236.07309056
283,0,297248.574895022,5043356.29940785
284,0,297252.492456969,5042092.40945453
285,0,297254.40880153,5043361.57725094
286,0,297258.988794071,5043698.86551304
287,0,297262.180853754,5043368.60850386
288,0,297267.767482692,5043373.66263884
289,0,297268.059638022,5042434.52668204
290,0,297269.069862934,5044288.75186486
291,0,297269.255574567,5043351.94682552
292,0,297272.123862101,5041883.00400074
293,0,297272.908987158,5043378.31925077
294,0,297273.716845449,5043337.9009242
295,0,297277.771687562,5043358.30789784
296,0,297279.164971275,5043674.80772674
297,1,297286.776013096,5042464.99620945
298,0,297292.973907573,5041912.53984584
299,0,297297.229637096,5043579.91993749
300,0,297301.17483109,5043765.52469772
301,0,297305.217617006,5042048.34936207
302,0,297308.706556358,5042730.5764047
303,0,297315.21204832,5042193.5725101
304,0,297315.828348561,5043333.16230942
305,0,297322.56582732,5041431.14210343
306,0,297323.197605965,5044366.98138493
307,0,297326.585945623,5043806.10510263
308,0,297331.946405106,5042533.35157181
309,1,297335.12902012,5041979.4269997
310,0,297335.746808214,5043433.33986866
311,0,297335.989598803,5042391.66840208
312,0,297336.870204807,5043647.76408506
313,0,297351.928577608,5043298.67199302
314,0,297357.138080559,5043306.01335375
315,0,297358.306435404,5042014.55206612
316,0,297359.754136728,5042808.09468613
317,0,297361.688361532,5042271.05269975
318,0,297373.016414396,5042157.0778858
319,0,297373.499201007,5041646.22817889
320,0,297376.11290859,5042599.58000627
321,0,297376.16605895,5042052.41707208
322,0,297377.471866526,5041251.57919839
323,0,297378.683471625,5041717.47721133
324,1,297381.334240486,5043891.36695473
325,0,297384.61802216,5042046.9879677
326,0,297388.607872187,5043107.58112888
327,0,297390.567610224,5043416.47144573
328,0,297391.157908869,5043278.32267459
