"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"2009.00",5330,2830,13.227,6.502,2.765,0.381,34.274,19.614,95.817,2.281,1.901
"2011.00",2060,3231,38.35,10,3.275,0,56,33.684,94.444,2.899,2.657
"2012.00",1590,2124,36.164,8.219,2.606,0.651,54.891,16.049,94.937,1.899,3.165
"2013.00",3900,2211,23.974,5.651,5.563,1.011,25.148,17.355,94.308,2.329,3.364
"2014.00",3325,2214,49.774,7,5.124,0.932,46.757,19.892,94.965,2.657,2.378
"2015.00",4635,3649,31.715,11.009,5.69,1.159,58.291,25.664,93.75,2.851,3.399
"2100.00",1980,208,11.364,3.463,2.02,0,12.766,10.656,95.674,2.29,1.781
"2101.00",1030,131,13.592,7.965,0.943,0,20.513,14.754,98.537,0.976,0.488
"2102.00",1055,22,13.744,5.344,2.294,0,17.722,9.231,94.258,4.306,1.435
"2103.00",1675,458,17.015,5.263,3.738,0,25.532,13.592,95.758,3.03,1.212
"2200.00",5515,2530,11.423,4.961,4.17,0.453,18.868,18.584,94.973,2.377,2.651
"2201.00",4335,2945,13.264,5.598,5.251,0.228,18.237,15.414,95.338,2.331,2.331
"2202.00",7380,1991,11.856,4.291,2.889,0.688,18.885,15.436,95.566,2.115,2.319
"2203.00",3555,1258,13.08,4.739,4.229,0.273,16.35,10.407,95.455,2.557,1.989
"2204.00",820,175,14.024,1.98,5.732,0,15.625,7.692,97.5,1.875,1.25
"2205.00",3975,1179,17.61,3.286,3.723,0.385,26.444,15.612,93.901,2.795,3.304
"2206.00",1955,73,11.253,4.603,2.494,0,15.862,11.57,94.574,2.842,2.584
"2207.00",880,124,13.068,1.942,1.639,0,12.5,3.636,92.529,5.747,1.724
"2300.00",2880,2169,21.528,6.552,1.616,0.539,30.078,20.115,97.427,1.715,1.029
"2301.00",2780,3082,31.115,7.692,3.665,0.698,48.322,30.496,96.358,2.152,1.49
"2302.00",2590,2560,22.394,6.475,1.397,0.399,30.544,21.875,97.191,1.685,1.124
"2304.00",1085,1545,22.581,4,2.752,0,22.472,16.418,96.296,2.315,1.389
"2400.00",2730,59,17.766,7.067,2.198,0,23.451,10.714,97.222,1.667,0.926
"2401.00",3690,832,11.653,4.245,2.442,0.814,18.051,13.333,97.127,1.642,1.231
"2402.00",3410,1224,9.824,4.188,3.29,0.286,15.517,11.735,95.809,2.601,1.734
