Nbr_acci;Feux_auto;Feux_piet;Pass_piet;Terreplein;Apaisement;EmpTotBuffer;Densite_pop;Entropie;DensiteInter;Long_arterePS;Artere;NB_voies5;log_acci;catego_acci;catego_acci2;Arret;VAG;sum_app;LogEmploi;AccOrdinal;PopHa
8;1;1;1;0;0;9971.6806675435;12788.5467679029;0.663195276910081;56.2623370242151;6088.88;1;1;2.19722457733622;1;1;0;1;4;9.20750442122091;2;12.7885467679029
7;0;0;1;0;0;1342.62522097118;2751.01228412044;0;73.3534430279542;2849.66;0;0;2.07944154167984;1;1;1;1;3;7.20238209649966;2;2.75101228412044
7;1;1;1;0;0;8427.76681574887;11386.1640390292;0.335228954166094;56.5675292888614;3554.3;1;0;2.07944154167984;1;1;0;1;4;9.03928710673743;2;11.3861640390292
7;1;1;1;1;0;2193.42723898712;7715.26208709423;0.246461623978621;42.7966447846913;8063.17;1;1;2.07944154167984;1;1;0;1;4;7.69322054886262;2;7.71526208709423
7;1;1;1;0;0;3309.97959225152;6067.28359566816;0.336698873484716;68.9764098916195;3974.67;1;1;2.07944154167984;1;1;0;1;3;8.10469730286918;2;6.06728359566816
7;1;1;1;0;0;12282.7299142509;2577.54614270429;0.237218746282607;32.4029265870895;3064.33;0;1;2.07944154167984;1;1;0;1;4;9.41594948271564;2;2.57754614270429
7;1;1;1;0;0;8206.40431823778;9920.07997225698;0.648762356690194;74.7127439395702;7540.23;1;1;2.07944154167984;1;1;0;1;4;9.01267014283853;2;9.92007997225698
7;1;1;1;0;0;51077.4139230369;11773.0186500881;0.957096304431411;65.0688155983531;12012.5;1;1;2.07944154167984;1;1;0;0;4;10.8410976808898;2;11.7730186500881
6;1;0;1;0;0;2400.29913717621;9454.45251645105;0.69353042451994;64.930457635728;789.533;0;0;1.94591014905531;1;1;0;1;4;7.78334864905914;2;9.45445251645105
6;0;0;1;0;0;12516.4100367731;8950.94208404184;0.430054930744714;74.9187895243645;8443.01;1;0;1.94591014905531;1;1;1;0;3;9.4347958652599;2;8.95094208404184
6;1;0;1;0;0;27453.778081133;10349.0659673241;0.864487672006432;107.148171104729;9458.81;0;0;1.94591014905531;1;1;0;1;4;10.2202590724808;2;10.3490659673241
6;1;0;1;0;0;65594.6891847778;10842.5324872857;0.980474455526759;66.9218924561218;11345.9;1;0;1.94591014905531;1;1;0;1;3;11.0912500141058;2;10.8425324872857
6;1;1;1;0;0;5119.91450801134;8231.46621924717;0.627592064147076;73.0989098687701;10165.1;1;0;1.94591014905531;1;1;0;1;4;8.54089302024011;2;8.23146621924717
6;1;1;1;0;0;15781.5534093548;14480.3078140336;0.847417187143939;45.154232770632;5713.26;1;0;1.94591014905531;1;1;0;1;4;9.66659703121227;2;14.4803078140336
6;1;1;1;0;0;5950.98122177229;5485.55807882408;0.581766499167062;53.3841608641311;10295.5;1;1;1.94591014905531;1;1;0;1;4;8.69131139616555;2;5.48555807882408
6;1;1;1;0;0;3966.82741217164;5674.77361250306;0.751511717551708;48.7300163919635;7361.7;1;1;1.94591014905531;1;1;0;1;4;8.28572191368732;2;5.67477361250306
6;1;0;1;1;0;10381.247410136;9483.21883906216;0.69585934633774;61.4057290372169;7484.22;1;1;1.94591014905531;1;1;0;0;4;9.24775632388641;2;9.48321883906216
5;1;1;1;0;0;4780.05232866745;12820.2856043119;0.737593939503404;57.6264460905546;0;0;0;1.79175946922805;1;1;0;1;4;8.47220677284555;2;12.8202856043119
5;1;0;1;0;0;2481.71457251032;12545.7733193426;0.539297526685118;48.5835662956849;411.138;0;0;1.79175946922805;1;1;0;1;4;7.81670496016307;2;12.5457733193426
5;0;0;0;0;0;4998.51941091127;8090.47765593025;0.787961842911746;66.8685611133679;4517.65;0;0;1.79175946922805;1;1;1;1;4;8.51689702974695;2;8.09047765593025
5;1;1;1;0;0;58543.7644918639;4619.62024125284;0.938135868950707;154.011289751718;9823.2;0;0;1.79175946922805;1;1;0;1;4;10.9775298644965;2;4.61962024125284
5;1;1;1;0;0;11779.9113501701;12526.2867802177;0.56506635651001;52.5117825924152;5098.26;0;0;1.79175946922805;1;1;0;1;4;9.37415093172481;2;12.5262867802177
5;1;0;1;0;0;2808.02152272477;7506.00263828763;0.79998251457432;63.1656843308312;2955.03;0;0;1.79175946922805;1;1;0;1;4;7.94023542990435;2;7.50600263828763
5;1;1;1;1;0;6257.45666966091;914.77291843352;0.643616495296606;4.26522427949405;8187.08;1;1;1.79175946922805;1;1;0;1;4;8.74152909873715;2;0.91477291843352
5;1;1;1;0;0;92285.91870701;9443.16870779892;0.954707444099964;91.5570603759995;16143;1;1;1.79175946922805;1;1;0;1;4;11.4326468487984;2;9.44316870779892
5;1;1;1;0;0;2437.30223901161;1328.52265684897;0.481723108828123;17.6710953171236;3808.78;1;1;1.79175946922805;1;1;0;1;4;7.79864706686738;2;1.32852265684897
4;1;1;1;0;0;5370.91226030982;11681.3364055316;0.727761812291891;53.1512301686088;0;0;0;1.6094379124341;1;1;0;1;4;8.58875305395185;2;11.6813364055316
