"OID","SRIDU","SRNOM","RMRIDU","Region","KM2","Pop2016","Logement","A014","A1564","A65plus","AgeMoyen","AgeMedian","MaisonIndi","App5Plus","MaisJumule","MaisRangee","AppDuplex","App5Moins","AutreMais","LogMobile","Menage1","MenageMoy","TotFamille","FamMono","RevMedMen","FaibleRev","Immigrant","ImgRec","MinVisible","Proprio","Locataire","PieceLog","LogTailCon","LogTailInc","LogAv60","Log61_80","Log81_90","Log91_00","Log_01_05","Log06_10","Log11_16","ValMedLog","ValMoyLog","LoyerMed","LoyerMoy","HabKm2","Hab1000Km2"
"202","4620245.00","0245.00","462","Montréal",0.226218,2886,1562,11.94,77.16,10.73,37.1,34.2,0,5.79,0.64,0.64,13.18,79.42,0.32,0,48.4,1.8,685,17.52,43968,26.22,26.48,5.75,21.47,26.35,73.65,4.1,93.97,6.03,48.09,27.39,8.92,6.05,3.18,5.73,0.64,350035,391974,717,765,12757.6054955839,12.7576054955839
"203","4620247.00","0247.00","462","Montréal",0.198907,2239,1182,13.84,78.35,7.59,36,33.9,0.42,0,0,0.42,16.1,81.36,1.69,0,47.03,1.9,515,14.56,56128,18.08,16.97,4.07,12.22,32.2,67.8,4.4,97.03,2.97,72.46,18.22,3.81,2.54,0.85,0.85,1.27,400483,440750,793,857,11256.5168646654,11.2565168646654
"204","4620265.00","0265.00","462","Montréal",0.497679,4565,2213,14.68,72.07,13.25,38.8,36.5,2.94,0,3.17,0.45,14.93,76.24,2.26,0,41.76,2.1,1145,21.83,54875,14.87,25.06,5.63,24.48,36.18,63.82,4.7,94.83,5.17,57.43,31.31,4.5,3.38,1.13,0.68,1.58,401214,441734,750,780,9172.57911223901,9.17257911223902
"205","4620266.00","0266.00","462","Montréal",0.775846,3357,1682,12.65,70.68,16.67,40.7,36.7,0.3,10.42,0.89,0.3,10.12,77.68,0.3,0,46.43,1.9,765,22.22,45184,25.19,30.52,7.06,31.6,25.9,74.1,4.2,91.59,8.41,49.7,33.13,6.02,4.22,3.31,3.61,0,399530,377778,702,725,4326.88961469157,4.32688961469157
"206","4620267.00","0267.00","462","Montréal",1.15963,6334,2666,17.13,67.56,15.23,39.6,38.3,0.94,7.13,1.69,0.19,16.7,72.98,0.38,0,33.96,2.4,1675,22.39,50688,19.45,49.76,7.7,45.95,42.4,57.6,4.7,88.37,11.63,52.82,34.77,4.14,1.5,0.75,1.88,4.14,448598,425519,757,758,5462.08704500573,5.46208704500573
"207","4620269.00","0269.00","462","Montréal",0.79482,4137,1921,20.8,68.2,11,36.4,35.1,1.81,0.26,4.13,0,13.18,80.1,0.52,0,44.68,2.1,985,24.87,41970,30.45,46.19,14.15,54.83,21.88,78.13,4,84.38,15.63,39.22,36.62,10.13,5.97,2.34,0.78,4.94,500547,474662,683,729,5204.9520646184,5.2049520646184
"208","4620270.00","0270.00","462","Montréal",0.699206,4529,2403,14.02,71.74,14.24,40.3,38.7,2.92,19.17,0.63,0.63,24.79,51.46,0.42,0,50.52,1.9,1075,17.67,48816,21.75,28.92,9.64,25.34,36.31,63.69,4.4,94.4,5.6,47.3,23.44,8.3,5.39,1.87,6.64,7.05,401381,430063,664,719,6477.34716235273,6.47734716235273
"209","4620271.00","0271.00","462","Montréal",0.492262,3454,1613,14.64,69.71,15.8,40.8,39.8,13.71,0,1.25,0.93,22.12,57.63,4.36,0,38.39,2.1,940,19.15,67424,9.18,17.48,4.02,13.85,56.59,43.41,5.2,96.11,3.89,55.56,21.02,4.5,4.2,4.2,0.9,9.61,400762,442270,781,809,7016.58872714124,7.01658872714124
"210","4620272.00","0272.00","462","Montréal",0.519395,3796,1841,17.52,67.59,14.89,40.5,41.3,7.05,0.27,5.15,4.07,10.3,73.17,0,0,42.82,2.1,960,23.44,48910,22.82,36.98,9.66,36.98,32.71,67.29,4.5,87.9,12.1,38.44,35.22,15.59,5.91,2.96,1.34,0.54,420823,441527,681,738,7308.5031623331,7.3085031623331
"211","4620273.00","0273.00","462","Montréal",0.586222,4661,2195,16.09,59.76,24.14,44.4,43.4,3.65,0,0.46,0,29,66.44,0.46,0,47.15,2,1100,24.09,48114,19.61,38.43,7.41,33.22,34.48,65.52,4.4,91.95,8.05,46.1,36.7,7.34,2.06,1.15,2.29,4.36,401112,419610,742,830,7950.91279412919,7.95091279412919
"212","4620274.00","0274.00","462","Montréal",0.493482,3014,1357,17.91,62.52,19.9,41.8,41.6,2.21,5.51,2.94,0,38.24,50.74,0.37,0,39.11,2.2,790,25.32,46357,20.1,42.28,6.45,33.96,32.96,67.04,4.7,90.67,9.33,40.52,49.81,5.95,2.97,0,0.74,0,428807,422055,711,737,6107.6189202443,6.1076189202443
"213","4620275.00","0275.00","462","Montréal",0.639074,4011,1996,15.94,66.5,17.56,42.6,43.7,6.03,0,2.26,0,18.84,72.36,0.5,0,47.62,2,995,22.61,46950,21.46,35.27,9.28,32.67,33.25,66.75,4.7,93.05,6.95,46.52,37.31,9.7,3.48,1.49,1,0.5,424163,439249,698,781,6276.26847595114,6.27626847595114
"214","4620276.00","0276.00","462","Montréal",0.912688,5112,2529,17.12,66.93,15.85,40.8,41.2,5.53,3.95,1.38,0.2,17,71.54,0.2,0.2,47.23,2,1260,23.81,49040,21.74,32.91,9.78,35.57,32.02,67.98,4.5,90.91,9.09,44.64,35.91,5.36,4.37,4.96,2.98,1.79,425459,445349,674,727,5601.03781357923,5.60103781357923
"215","4620277.00","0277.00","462","Montréal",0.575887,4410,1936,14.51,58.84,26.64,46.6,45,6.19,5.67,3.61,0.26,7.73,76.29,0.26,0,49.61,1.9,895,24.02,42291,26.86,33.64,13.98,36.33,29.69,70.31,4.4,89.12,10.88,41.45,42.23,6.22,4.15,2.33,1.81,1.81,501251,479944,685,738,7657.75230210093,7.65775230210093
"216","4620370.00","0370.00","462","Montréal",1.85001,6973,2473,18.64,63.37,17.92,40.1,40.8,49.09,9.86,8.45,0.2,13.48,18.91,0,0,21.01,2.8,1900,12.37,122496,10.77,28.43,4.24,15.08,66.87,33.13,7.4,94.34,5.66,48.08,44.44,3.64,1.62,0.4,1.41,0.4,1001525,1147558,914,1188,3769.1688153037,3.7691688153037
"217","4620249.00","0249.00","462","Montréal",0.545929,4194,2139,13.71,70.44,15.73,41.4,40.5,11.89,1.63,2.33,1.4,19.35,61.77,1.4,0.23,49.07,1.9,990,22.73,41792,24.15,30.82,4.7,26.36,37.18,62.82,4.5,94.33,5.67,59,25.59,7.58,1.9,1.42,1.9,2.61,420927,453650,653,704,7682.31766401858,7.68231766401858
"218","4620250.00","0250.00","462","Montréal",0.461713,4052,1899,15.43,70.25,14.44,39.9,38.8,1.05,0,11.32,2.89,17.11,63.95,3.68,0,41.32,2.1,1020,24.02,46777,21.11,39.28,6.27,37.83,38.54,61.46,4.8,92.17,7.83,56.77,24.48,4.17,5.73,1.56,4.69,2.6,379582,386111,734,765,8776.01453716919,8.77601453716919
"219","4620252.00","0252.00","462","Montréal",0.335111,5258,2275,18.82,68.35,12.83,37.8,36.8,2.2,0.44,2.2,0.44,14.95,76.7,2.86,0.22,36.7,2.3,1285,25.68,40539,32.25,47.56,11.67,49.62,28.73,71.27,4.2,85.05,14.95,47.59,37.72,5.48,3.29,0.88,1.54,3.51,344530,359505,724,744,15690.3235047492,15.6903235047492
"220","4620253.00","0253.00","462","Montréal",0.471845,3436,1443,19.77,69.62,10.47,36.6,35.4,0.69,0,1.04,0.69,15.22,81.31,1.04,0,34.26,2.4,885,25.42,48016,27.37,48.21,11.02,56.51,40.34,59.66,4.3,85.03,14.97,40.2,28.38,4.73,3.72,0,10.47,12.5,230208,313860,667,705,7282.05236889233,7.28205236889233
"221","4620254.00","0254.00","462","Montréal",0.632151,4069,1836,16.95,69.29,13.88,39.8,39.6,22.01,0.27,4.35,0,4.35,68.48,0.54,0,40.33,2.2,1020,25.98,42394,28.61,44.17,8.91,51.75,41,59,4.5,86.74,13.26,51.38,29.83,5.52,5.52,1.1,0.83,5.8,348179,327728,645,682,6436.75324408251,6.4367532440825
"222","4620256.00","0256.00","462","Montréal",1.8975,3772,1465,18.81,68.87,12.19,37.4,36.7,2.05,0,0.68,2.4,34.25,57.53,3.08,0,30.38,2.6,980,33.67,44123,25.07,52.74,8.79,66.19,35.76,64.24,4.5,88.89,11.11,43.55,36.59,8.01,3.14,2.79,3.83,2.09,299732,292227,713,739,1987.87878787879,1.98787878787879
"223","4620257.00","0257.00","462","Montréal",1.36932,4520,1657,21.22,64.09,14.59,37.7,36,0,0,0.3,0.3,43.98,55.42,0,0,27.11,2.7,1185,33.33,42688,29.61,51.72,6.65,69.35,25,75,4.8,85.16,14.84,26.55,57.23,8.85,4.72,1.47,0.59,0.59,369727,389728,694,705,3300.90848012152,3.30090848012152
"224","4620258.00","0258.00","462","Montréal",0.407419,5162,1802,27.69,64.18,8.03,32.8,32.3,11.08,0,0.83,0.28,8.03,79.22,0.55,0,22.16,2.9,1335,34.46,41754,40.85,52.34,13.53,75.42,17.98,82.02,4.6,81.74,18.26,32.77,42.86,8.68,7.84,1.96,0.84,5.04,348411,311090,691,686,12670.003117184,12.670003117184
"225","4620259.00","0259.00","462","Montréal",0.381676,5969,2321,23.64,66.22,10.23,35,34.3,0.65,0.22,0.22,0,13.76,85.16,0,0,30.39,2.6,1485,36.36,37675,37.33,52.77,13.93,69.35,16.16,83.84,4.3,81.03,18.97,33.62,48.06,9.27,4.74,1.94,0.65,1.72,376660,357792,676,718,15638.9188735996,15.6389188735996
"226","4620260.00","0260.00","462","Montréal",0.558284,2312,836,23.54,64.36,11.88,35.7,35,7.78,0,0.6,0,30.54,60.48,0.6,0,23.95,2.8,595,32.77,47770,25.76,53.88,11.75,64.75,31.33,68.67,4.7,83.73,16.27,39.52,46.71,8.38,1.8,1.2,1.2,1.2,348782,339337,696,728,4141.26143683143,4.14126143683143
"227","4620261.00","0261.00","462","Montréal",0.648065,2713,1070,20.81,64.83,14.36,37.6,37.1,2.8,0,0.47,0,38.79,57.48,0,0.47,31.31,2.5,700,32.86,40448,31.18,50.74,9.96,60.89,30.56,69.44,4.5,85.65,14.35,39.53,49.3,7.44,1.86,0.93,0.93,0,359785,351365,698,712,4186.308472144,4.186308472144
"228","4620262.00","0262.00","462","Montréal",0.790733,4525,1717,21.33,64.2,14.48,37.6,37.1,0.29,0,0,0.58,33.92,63.16,2.05,0,27.33,2.6,1185,33.33,43494,29.72,55.5,9.44,69.64,37.25,62.75,4.8,83.14,16.86,33.62,54.02,5.75,1.44,0,1.15,4.02,349010,317577,742,744,5722.53845482609,5.72253845482609
"229","4620263.00","0263.00","462","Montréal",0.774591,4085,1713,18.85,62.3,18.97,40.6,40.3,1.74,0,0.58,0.87,37.5,57.85,1.16,0.29,35.67,2.4,1060,29.72,45184,23.99,46.8,7,54.4,34.02,65.98,4.7,87.98,12.02,27.41,45.77,10.5,8.45,3.21,3.79,0.87,400057,387101,695,701,5273.75092145403,5.27375092145403
"230","4620167.00","0167.00","462","Montréal",0.211661,2549,1157,21.22,72.1,7.07,32.7,31.5,0,0,0,1.3,8.66,88.74,1.3,0,39.83,2.2,570,21.93,54379,20.2,25.57,6.06,13.26,25,75,4.6,94.17,5.83,75.73,14.23,3.77,2.93,1.67,1.67,0,449266,542527,904,949,12042.8420918355,12.0428420918355
"231","4620168.00","0168.00","462","Montréal",0.175331,2886,1136,24.78,67.94,7.28,31.7,29.8,0,2.63,0.44,3.51,11.84,81.14,0.44,0,35.68,2.5,585,13.68,59008,18.39,24.58,4.07,11.81,33.18,66.82,5,90.91,9.09,74.66,7.69,1.81,5.43,3.62,4.52,2.26,425649,539662,1030,1071,16460.2950989842,16.4602950989842
"232","4620169.00","0169.00","462","Montréal",0.151688,2216,973,13.96,75.23,10.81,38.6,37.8,0,0,0,9.33,2.07,88.6,0,0,32.82,2.2,540,20.37,67285,15.78,22.22,3.38,12.32,35.23,64.77,5.3,96.37,3.63,86.53,11.92,1.55,0,0,0,0,500129,557476,1062,1134,14608.9341279468,14.6089341279468
"233","4620170.00","0170.00","462","Montréal",0.162781,2111,1044,12.32,78.2,9.48,37.7,35.6,0,0,0,0.48,12.5,86.06,0.96,0,40.67,2,475,20,52582,21.56,26.39,3.39,16.22,27.54,72.46,4.7,95.15,4.85,72.95,14.01,4.83,1.45,1.93,1.45,3.38,500967,577181,933,989,12968.343971348,12.968343971348
"234","4620171.00","0171.00","462","Montréal",0.497598,4735,2648,8.55,71.7,19.85,43.4,38.9,0.19,21.74,0.38,0.57,5.67,71.27,0.19,0,55.01,1.7,970,18.04,45227,27.47,26.53,6.69,17.84,34.77,65.23,3.8,96.07,3.93,36.89,19.1,8.05,17.42,7.3,6.55,4.68,350139,410863,841,869,9515.7134875944,9.5157134875944
"235","4620172.00","0172.00","462","Montréal",0.204085,2496,1551,8.42,87.37,4.41,33.9,31.4,0.32,6.15,0,0.32,1.29,91.91,0,0,58.71,1.6,485,11.34,42304,28.66,26.61,8.67,17.58,28.71,71.29,3.5,96.36,3.64,39.87,24.92,6.64,2.66,9.63,4.65,11.63,306711,385272,863,907,12230.1982017297,12.2301982017297
"236","4620173.00","0173.00","462","Montréal",0.19218,2029,1141,11.6,81.98,6.91,35.5,33.5,0,0,0,0.44,6.55,93.01,0,0,53.07,1.7,430,11.63,52416,20.3,23.96,8.07,15.61,29.66,70.34,4,96.61,3.39,50.64,20.85,6.81,4.68,6.81,10.21,0,359221,440716,842,911,10557.8103860964,10.5578103860964
"237","4620174.00","0174.00","462","Montréal",0.236806,2091,1221,11.96,80.14,8.13,37.9,35.9,0,0,0,1.65,4.53,93.83,0,0,55.33,1.7,465,12.9,65440,12.95,19.62,4.78,11.24,42.15,57.85,4.1,97.11,2.89,51.45,14.52,4.56,3.32,4.15,19.5,2.49,350208,408328,945,981,8830.01275305524,8.83001275305524
"238","4620175.00","0175.00","462","Montréal",0.122573,1978,1059,15.44,77.97,6.58,36.9,36.1,0,0,0,1.42,5.19,91.98,1.42,0,48.58,1.9,490,14.29,72032,12.5,17.91,7.96,7.48,43.93,56.07,4.5,98.12,1.88,57.48,12.15,2.8,7.48,10.75,8.41,0.93,383879,448413,969,1025,16137.3222487824,16.1373222487824
"239","4620176.00","0176.00","462","Montréal",0.117321,1572,873,9.24,85.35,5.73,36.4,33.8,0,0,0,0,1.72,98.28,0,0,46.29,1.8,380,13.16,55424,17.42,17.21,3.57,8.79,24.56,75.44,4.5,94.71,5.29,79.41,16.47,2.94,1.18,0,0,0,428597,522352,913,998,13399.1357046053,13.3991357046053
"240","4620177.00","0177.00","462","Montréal",0.101807,1346,748,11.52,82.53,5.58,35.9,33.8,0,2.01,0.67,2.01,11.41,83.89,0,0,46.67,1.8,330,15.15,59264,15.61,16.41,5.73,9.58,30.87,69.13,4.2,95.3,4.7,69.8,12.75,3.36,1.34,2.01,2.01,8.72,349664,404060,804,893,13221.0948166629,13.2210948166629
"241","4620178.00","0178.00","462","Montréal",0.288348,2353,1323,11.89,82.17,5.94,34.9,32.8,0,0,0,0.38,3.38,96.24,0,0,49.81,1.8,510,19.61,50656,20,14.8,5.6,12,23.05,76.95,4.4,95.91,4.09,80,14.44,2.22,1.85,0.74,0,0.74,349967,425546,855,938,8160.27855230485,8.16027855230485
"242","4620179.00","0179.00","462","Montréal",0.512752,3819,2172,11.13,81.68,7.2,36.5,34.5,0.23,3.68,0,0.69,9.89,85.29,0.23,0,52.87,1.7,840,20.83,42524,25.07,15.65,5.44,13.64,23.34,76.66,4.1,95.42,4.58,59,23.69,5.01,3.42,1.59,1.59,5.69,349038,394273,708,781,7448.04505881986,7.44804505881986
"243","4620180.00","0180.00","462","Montréal",0.272064,3378,1904,13.17,77.81,8.88,37.6,35.9,0,1.84,0,0,15.49,81.89,0.79,0,52.23,1.8,745,24.83,43662,24.59,19.76,3.65,16.72,22.45,77.55,4.1,94.79,5.21,65.27,24.28,4.18,1.31,1.04,1.04,2.87,383714,416310,722,773,12416.196189132,12.416196189132
"244","4620181.00","0181.00","462","Montréal",0.344705,4468,2449,15.32,73.6,11.07,37.7,35.8,0.2,17.11,0.2,0,13.85,67.01,1.43,0.2,51.74,1.8,1040,22.6,46487,22.02,17.29,5.01,15.02,24.69,75.31,4.2,96.09,3.91,54.02,19.38,3.3,4.54,1.03,0.62,17.11,349355,380999,781,839,12961.8079227165,12.9618079227165
"245","4620182.00","0182.00","462","Montréal",0.142037,2155,1125,16.24,72.16,11.6,38.2,37,0,6.67,0,0,23.56,68.44,1.33,0,48,1.9,510,22.55,48448,17.65,13.88,2.59,6.82,26.46,73.54,4.6,93.72,6.28,71.88,19.2,5.36,1.34,0.89,0,1.34,400738,429320,791,840,15172.1030435732,15.1721030435732
"246","4620183.00","0183.00","462","Montréal",0.135727,2205,1231,13.38,75.28,11.34,39.1,36.9,0,4.88,0,0.41,17.89,75.61,1.22,0,52.23,1.8,525,24.76,48160,21.28,11.23,2.2,9.03,25.61,74.39,4.4,95.49,4.51,70.08,17.21,6.56,3.28,2.05,0,0.82,380170,409599,729,784,16245.8464417544,16.2458464417544
"247","4620184.00","0184.00","462","Montréal",0.225637,2943,1540,15.82,72.79,11.22,38.5,36.9,0,0.32,0,0.32,23.05,75.65,0.32,0.32,46.75,1.9,725,23.45,47872,17.83,15.63,4.2,11.26,38.64,61.36,4.6,96.13,3.87,75.24,17.36,0.96,1.61,0,0.64,4.18,449326,436511,766,812,13043.0736093814,13.0430736093814
"248","4620185.00","0185.00","462","Montréal",0.404869,5217,2756,15.53,73.15,11.31,39.2,38.7,0.36,1.63,0.18,1.63,20.69,75.14,0.18,0.18,49.36,1.9,1240,24.19,46677,20.1,17.49,3.3,16.13,28.91,71.09,4.4,94.91,5.09,62.3,25.68,4.92,3.64,0,2.37,1.09,449234,453135,705,737,12885.6494322855,12.8856494322855
"249","4620186.00","0186.00","462","Montréal",0.398873,4539,2445,14.98,72.14,13,38.9,37.1,0,0.2,0,2.25,10.22,86.91,0.2,0.2,48.47,1.9,1110,27.93,43600,25.58,26.01,8.05,23.31,25.91,74.09,4.1,93.31,6.69,44.74,31.98,10.53,5.47,0.61,1.62,5.06,341228,367679,713,743,11379.5619156975,11.3795619156975
"250","4620191.00","0191.00","462","Montréal",1.74157,6171,2875,14.42,64.26,21.39,43.9,43.6,8.87,21.39,2.96,1.74,19.65,45.39,0,0,40,2.1,1585,16.72,55915,16.11,28.82,8.14,27.49,37.57,62.43,4.8,94.09,5.91,33.1,48.08,13.41,4.7,0.35,0,0.35,449598,459193,826,863,3543.35455939181,3.54335455939181
"251","4620192.00","0192.00","462","Montréal",0.802592,3290,1172,11.55,53.19,35.26,52.3,55.1,17.6,17.6,13.73,10.73,1.29,39.06,0,0,34.47,2.2,745,18.79,71509,15.5,20.24,1.96,23.18,68.94,31.06,5.5,96.61,3.39,20.68,12.66,23.63,24.05,17.3,1.69,0,348395,356733,623,629,4099.21853195646,4.09921853195646
"252","4620193.00","0193.00","462","Montréal",0.272399,2003,924,16.96,66.83,15.96,40.8,40.9,14.67,0,3.26,2.72,9.78,69.02,0.54,0,37.84,2.2,545,19.27,57446,14.46,25.49,5.64,27.45,45.95,54.05,5.1,96.17,3.83,45.9,34.43,11.48,3.83,0,2.19,2.19,349880,384113,741,757,7353.18411594756,7.35318411594756
"253","4620194.00","0194.00","462","Montréal",1.24464,7557,3061,22.3,66.51,11.25,36.6,36.2,1.96,2.78,16.99,7.03,3.92,67.16,0.16,0,28.22,2.4,2120,23.11,67294,17.06,24.88,4.62,29.9,50,50,5.1,94.61,5.39,8.81,38.17,21.37,2.28,0.33,10.77,18.27,360110,354984,723,719,6071.63517161589,6.07163517161589
"254","4620196.00","0196.00","462","Montréal",0.416952,3944,2018,16.48,67.55,15.97,40.8,40.6,0.74,0.25,1.48,0,21.23,75.06,1.23,0,48.76,1.9,960,21.88,46037,22.9,26.27,9.02,25.39,26.18,73.82,4.3,92.5,7.5,57.5,28.75,6.5,4.75,1,1,0.5,459200,435420,695,742,9459.12239298528,9.45912239298528
"255","4620197.00","0197.00","462","Montréal",0.613751,5027,2404,17.81,65.47,16.82,40.8,39.7,0.84,0.21,0.21,0,20.67,77.87,0.21,0,46.57,2,1175,20.43,46127,21.01,33.23,10.37,29.64,26.09,73.91,4.2,89.46,10.54,55.79,31.82,5.17,4.13,1.45,1.65,0,450263,434324,692,731,8190.61801935964,8.19061801935964
"256","4620198.00","0198.00","462","Montréal",0.665785,4940,2440,17.81,65.99,16.09,40.5,39.6,15.75,0,4.29,1.64,10.22,67.48,0.61,0,44.88,2,1215,21.81,45158,23.08,32.45,10.64,27.02,30.98,69.02,4.4,91.08,8.92,45.42,37.71,8.75,5.21,1.04,1.04,0.83,424803,418517,721,747,7419.81270229879,7.41981270229879
"257","4620199.00","0199.00","462","Montréal",0.231823,2613,1341,15.11,72.85,11.85,39.4,38.6,2.22,0.37,0.74,7.04,9.63,77.04,2.96,0,45.35,1.9,670,24.63,44723,23.33,30.21,9.75,26.32,28.52,71.48,4.1,93.33,6.67,52.79,28.25,5.2,9.29,1.86,1.12,1.49,376634,397363,692,741,11271.5304348576,11.2715304348576
"258","4620200.00","0200.00","462","Montréal",0.316166,4667,2278,18.42,68.95,12.63,38.5,38,3.51,3.51,0.66,5.92,14.25,70.83,1.1,0.22,44.74,2,1115,24.22,42854,27.25,35.99,10.49,35.4,31.09,68.91,4.2,88.74,11.26,49.67,28.42,8.68,5.86,2.39,2.82,2.17,365202,365468,676,717,14761.2330231587,14.7612330231587
"259","4620201.00","0201.00","462","Montréal",0.966021,7118,3436,15.24,62.78,21.98,43.5,42,0.15,13.08,0.87,3.2,15.26,67.15,0.29,0,50.51,1.9,1525,26.23,40491,28.81,32.83,10.34,34.88,24.96,75.04,4.1,89.86,10.14,45.93,31.24,4.99,7.13,4.71,4.56,1.43,401067,424848,673,726,7368.36983875092,7.36836983875092
"260","4620202.00","0202.00","462","Montréal",0.63303,4224,2280,13.02,66.63,20.12,44.2,44.2,0.88,5.27,4.62,0.44,16.04,72.31,0.44,0,54.17,1.8,950,22.63,44629,20,23.08,5.08,16.43,27.09,72.91,4.3,96.16,3.84,61.63,25.28,8.13,2.03,0.68,1.81,0.45,500630,502679,668,701,6672.66954172788,6.67266954172788
"261","4620203.00","0203.00","462","Montréal",0.244953,2700,1459,15,72.96,12.04,40.2,39.4,0.69,0,0,1.03,24.74,71.48,2.06,0,50,1.8,655,19.85,52791,15.8,16.79,5.53,11.07,34.97,65.03,4.7,97.2,2.8,73.68,16.84,3.86,2.46,0,2.46,0.7,480282,464808,750,819,11022.5226880259,11.0225226880259
"262","4620204.00","0204.00","462","Montréal",0.241914,2670,1438,15.36,74.16,10.67,38.8,37.5,0.35,0.69,0.69,0.35,16.96,77.51,3.46,0,51.92,1.8,635,20.47,51328,16.26,12.45,3.64,8.24,32.41,67.59,4.6,96.21,3.79,75.35,19.1,2.43,1.39,0,1.04,0.69,500293,489699,753,819,11036.9800838314,11.0369800838314
"263","4620205.00","0205.00","462","Montréal",0.182168,2115,1150,14.42,73.05,12.53,40.7,39.8,0.43,0.87,0.43,0.87,27.39,70,0,0,51.3,1.8,515,14.56,51883,16.08,11.06,2.76,8.31,32.13,67.87,4.5,96.36,3.64,77.38,14.93,2.26,1.81,1.36,2.26,0,421188,453749,660,736,11610.1620482192,11.6101620482192
"264","4620206.00","0206.00","462","Montréal",0.23909,2564,1352,14.62,72.9,12.28,40,39.2,0,0,0.37,0.74,25.28,72.49,1.12,0,48.52,1.9,630,18.25,54323,13.45,13.43,1.68,10.84,37.82,62.18,4.9,97.45,2.55,80.8,15.58,0.72,1.45,0.72,0,0.72,500598,489746,754,828,10723.9951482705,10.7239951482705
"265","4620350.00","0350.00","462","Montréal",0.576542,2525,1121,12.65,58.89,28.26,47.2,46.4,1.33,36,0.89,19.11,0.89,41.33,0.44,0,42.86,2,565,17.7,63360,22.3,26.27,5.08,22.3,46.49,53.51,5,96.05,3.95,55.26,24.12,11.4,2.63,1.32,0,5.26,750798,773572,985,1138,4379.55951170947,4.37955951170947
"266","4620380.00","0380.00","462","Montréal",0.788673,4060,1802,15.41,56.23,28.48,45.9,47.3,27.02,46.52,11.7,0,3.62,11.14,0,0,38.06,2.3,1100,17.27,52821,17.61,40.98,7.65,26.28,37.64,62.36,5.2,90.38,9.62,43.56,47.4,4.93,3.01,0,0.55,0.55,600652,654937,887,984,5147.88765432568,5.14788765432568
"267","4620381.00","0381.00","462","Montréal",0.606662,6290,2474,20.75,58.35,20.91,41.4,39.4,3.23,67.07,8.08,2.83,6.87,11.92,0,0,33.54,2.4,1575,20.95,45696,28.15,61.26,20.22,31.95,25.45,74.55,4.2,78.14,21.86,29.55,46.76,13.77,4.86,3.04,1.62,0.4,375690,398199,902,905,10368.2116236059,10.3682116236059
"268","4620385.00","0385.00","462","Montréal",0.0382501,1517,949,6.27,51.82,41.91,55.1,59.6,0,88.89,0,0,0,11.11,0,0,54.74,1.6,400,21.25,49365,21.05,39.6,7.26,23.43,6.35,93.65,3.7,91.05,8.95,30,56.84,10,3.16,0,0,0,349396,377225,1171,1301,39660.0270326091,39.6600270326091
"269","4620306.00","0306.00","462","Montréal",0.229861,2847,1524,11.93,75.26,12.63,39.2,35.8,1.31,15.08,0,4.92,12.79,65.57,0.33,0,42.95,1.9,725,25.52,46153,24.43,17.67,8.38,16.21,20.33,79.67,4.4,94.67,5.33,69.57,20.4,7.02,1.67,0.67,0.67,0,285247,327704,816,836,12385.7461683365,12.3857461683365
"270","4620307.00","0307.00","462","Montréal",0.178986,3079,1567,13.31,78.73,8.12,36,33.2,0.63,0,0.32,1.9,11.43,85.4,0.32,0,39.94,2,760,28.29,45286,28.18,18.57,7.14,20.16,13.92,86.08,4.5,92.09,7.91,74.13,17.35,4.73,2.52,0.63,0.63,0,300640,353838,780,802,17202.4627624507,17.2024627624507
"271","4620390.00","0390.00","462","Montréal",1.05807,1198,617,14.11,70.95,14.11,41.3,41.9,6.5,0,1.63,4.88,27.64,59.35,0,0,49.19,1.9,285,29.82,46400,22.84,12.03,1.24,9.96,37.4,62.6,4.5,95.97,4.03,50.79,18.25,9.52,7.94,7.14,3.97,2.38,300157,349487,695,752,1132.25022919089,1.13225022919089
"272","4620391.00","0391.00","462","Montréal",0.326838,1656,834,12.35,65.36,21.99,44.7,45,4.76,13.69,1.79,2.38,21.43,52.98,2.98,0,49.4,1.9,380,23.68,40294,27.33,13.17,1.2,15.52,28.48,71.52,4.5,95.76,4.24,60.61,21.21,9.7,4.24,1.21,1.82,1.21,348160,375123,711,745,5066.73030675748,5.06673030675748
"273","4620392.00","0392.00","462","Montréal",0.4515,1522,738,12.83,66.45,20.72,45.7,46.6,4.08,0,7.48,9.52,18.37,57.14,3.4,0,48.3,1.9,355,22.54,55424,17.15,19.53,4.69,11.72,37.24,62.76,4.6,97.93,2.07,52.41,14.48,1.38,9.66,13.1,6.9,2.07,300386,362021,760,820,3370.98560354374,3.37098560354374
"274","4620393.00","0393.00","462","Montréal",1.0746,6874,3193,17.31,69.45,13.24,39.1,37.8,6.41,18.13,2.19,8.44,20.31,43.75,0.78,0,39.5,2.1,1815,26.45,55152,18.72,20.27,4.08,22.57,47.02,52.98,4.6,93.91,6.09,44.77,18.1,3.9,3.74,4.21,3.74,21.53,280376,294508,720,746,6396.79880885911,6.39679880885911
"275","4620394.00","0394.00","462","Montréal",1.3859,3689,1871,13.55,73.17,13.28,40.2,39.1,5.88,0,1.87,1.07,41.98,48.66,0.53,0,42.25,2,970,28.87,47817,20.46,18.09,4.42,23.9,35.81,64.19,4.4,95.76,4.24,57.29,23.87,4.51,2.92,3.71,5.57,2.12,299878,311131,732,749,2661.80821127065,2.66180821127065
