"HEURE_ACCDN","DT_ACCDN","NB_VICTIMES_TOTAL"
"16:00:00-16:59:00","2017/07/17",1
"09:00:00-09:59:00","2017/07/25",0
"22:00:00-22:59:00","2017/08/05",0
"21:00:00-21:59:00","2017/08/10",1
"16:00:00-16:59:00","2017/08/16",1
"08:00:00-08:59:00","2017/08/18",0
"12:00:00-12:59:00","2017/08/21",1
"09:00:00-09:59:00","2017/08/25",1
"17:00:00-17:59:00","2017/09/07",0
"19:00:00-19:59:00","2017/09/07",0
"18:00:00-18:59:00","2017/09/12",0
"15:00:00-15:59:00","2017/09/13",1
"15:00:00-15:59:00","2017/09/14",0
"17:00:00-17:59:00","2017/09/19",1
"08:00:00-08:59:00","2017/09/21",0
"03:00:00-03:59:00","2017/09/23",1
"20:00:00-20:59:00","2017/09/23",1
"21:00:00-21:59:00","2017/10/04",0
"15:00:00-15:59:00","2017/10/05",0
"16:00:00-16:59:00","2017/10/12",1
"08:00:00-08:59:00","2017/10/16",0
"15:00:00-15:59:00","2017/10/16",0
"17:00:00-17:59:00","2017/10/16",1
"09:00:00-09:59:00","2017/10/23",0
"07:00:00-07:59:00","2017/10/24",1
"08:00:00-08:59:00","2017/10/24",0
"16:00:00-16:59:00","2017/10/30",1
"07:00:00-07:59:00","2017/11/01",1
"12:00:00-12:59:00","2017/11/01",1
"18:00:00-18:59:00","2017/11/02",1
"08:00:00-08:59:00","2017/11/06",1
"22:00:00-22:59:00","2017/11/07",1
"09:00:00-09:59:00","2017/11/08",1
"13:00:00-13:59:00","2017/11/09",0
"14:00:00-14:59:00","2017/11/25",1
"13:00:00-13:59:00","2017/12/29",0
"20:00:00-20:59:00","2017/05/01",0
"11:00:00-11:59:00","2017/05/03",1
"09:00:00-09:59:00","2017/05/16",1
"19:00:00-19:59:00","2017/06/09",0
"16:00:00-16:59:00","2017/06/20",0
"21:00:00-21:59:00","2017/06/22",1
"18:00:00-18:59:00","2017/06/25",4
"20:00:00-20:59:00","2017/06/25",1
"15:00:00-15:59:00","2017/06/26",0
"15:00:00-15:59:00","2017/07/07",1
"11:00:00-11:59:00","2017/07/10",0
"12:00:00-12:59:00","2017/07/26",1
"17:00:00-17:59:00","2017/08/07",1
"16:00:00-16:59:00","2017/08/11",1
"17:00:00-17:59:00","2017/08/16",1
"Non précisé","2017/08/28",2
"06:00:00-06:59:00","2017/08/28",1
"00:00:00-00:59:00","2017/09/02",1
"10:00:00-10:59:00","2017/09/06",0
"22:00:00-22:59:00","2017/09/16",0
"08:00:00-08:59:00","2017/09/19",1
"16:00:00-16:59:00","2017/09/19",0
"14:00:00-14:59:00","2017/09/24",1
"06:00:00-06:59:00","2017/10/10",1
"11:00:00-11:59:00","2017/10/12",1
"15:00:00-15:59:00","2017/10/12",0
"17:00:00-17:59:00","2017/10/25",0
"13:00:00-13:59:00","2017/11/13",1
"17:00:00-17:59:00","2017/11/15",1
"07:00:00-07:59:00","2017/11/29",1
"22:00:00-22:59:00","2017/02/18",1
"15:00:00-15:59:00","2017/02/27",0
"03:00:00-03:59:00","2017/04/23",0
"12:00:00-12:59:00","2017/05/04",0
"18:00:00-18:59:00","2017/05/18",1
"18:00:00-18:59:00","2017/05/30",1
"16:00:00-16:59:00","2017/06/12",1
"17:00:00-17:59:00","2017/06/18",1
"08:00:00-08:59:00","2017/06/19",1
"16:00:00-16:59:00","2017/06/21",1
"13:00:00-13:59:00","2017/06/13",0
"12:00:00-12:59:00","2017/06/23",0
"12:00:00-12:59:00","2017/06/26",0
"16:00:00-16:59:00","2017/07/10",1
"08:00:00-08:59:00","2017/07/17",1
"11:00:00-11:59:00","2017/07/18",1
"07:00:00-07:59:00","2017/07/20",0
"18:00:00-18:59:00","2017/07/26",1
"06:00:00-06:59:00","2017/07/31",1
"16:00:00-16:59:00","2017/07/30",0
