OBJECTID,ID_SERV,INFO,NOM,AIRE_JEUX,ATHLETISME,BASEBALL_S,BASKETBALL,FOOTBALL,JEUX_EAU,RANDONNEE,ROULI_ROUL,SOCCER,SKI_FOND,TENNIS,TOBBOGAN_G,VOLLEY_BALL,PATIN_ROUE,RAQUETTES,PATAUGEOIRE,PISC_EXT,PATINOIRE_E,SUM_SERVICES,Shape_Length,Shape_Area,HECTARES,HaTypo,TypoParcCL6
193,7426.000000000000000,LASALLE,J.D. DUCHARME,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,487.767046962100550,10793.011349970719000,1.079301134997072,b. 1 à 5 ha,B
194,7615.000000000000000,COTE-SAINT-LUC-HAMPSTEAD-MONTREAL-OUEST,COUNCILLOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,403.599760246911330,10590.504249972781000,1.059050424997278,b. 1 à 5 ha,B
195,6934.000000000000000,LE SUD-OUEST,PARC DU LAC-A-LOUTRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293.668959267870660,2837.993400001211700,0.283799340000121,a- Moins de 1 ha,A
196,7643.000000000000000,COTE-SAINT-LUC-HAMPSTEAD-MONTREAL-OUEST,PERE-MARTIN-FOLEY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.470710041251780,4036.502849975158800,0.403650284997516,a- Moins de 1 ha,A
197,6705.000000000000000,BEACONSFIELD-BAIE D'URFE,HENRI-JARRY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328.698962816123580,4022.000899988470800,0.402200089998847,a- Moins de 1 ha,A
198,6994.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC EDMOND-HAMELIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,264.274002584497790,3970.501349992706800,0.397050134999271,a- Moins de 1 ha,A
199,6824.000000000000000,KIRKLAND,MOREAU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295.405756152914420,3940.986850022338300,0.394098685002234,a- Moins de 1 ha,A
200,6750.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,AUDUBON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257.168973551823230,3914.495249998069100,0.391449524999807,a- Moins de 1 ha,A
201,6675.000000000000000,ANJOU,D'ALLONNES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.868545849704730,3913.996700015605700,0.391399670001561,a- Moins de 1 ha,A
204,6873.000000000000000,LE PLATEAU-MONT-ROYAL,PARC DU CARMEL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248.235562787179300,3850.009399989031900,0.385000939998903,a- Moins de 1 ha,A
206,7477.000000000000000,SAINT-LAURENT,PARC SIR-EDMUND-HILLARY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257.697893258800830,3811.994800008833400,0.381199480000883,a- Moins de 1 ha,A
207,7221.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,"VETERANS (MTLE), DES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,213.482311519763360,2833.497050010011200,0.283349705001001,a- Moins de 1 ha,A
208,7145.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,FRAN€OIS-LA BERNARDE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214.422139369719790,2809.994699999003400,0.280999469999900,a- Moins de 1 ha,A
212,6849.000000000000000,LACHINE,PARC CURE-PROVOST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221.022524525121470,2779.994450019427900,0.277999445001943,a- Moins de 1 ha,A
215,6893.000000000000000,LE PLATEAU-MONT-ROYAL,PARC ROY-RIVARD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,207.279634227714840,2683.991400014609100,0.268399140001461,a- Moins de 1 ha,A
216,7489.000000000000000,VILLE-MARIE,PARC BERTHIER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265.454223655112060,2654.003599993884600,0.265400359999388,a- Moins de 1 ha,A
217,7634.000000000000000,COTE-SAINT-LUC-HAMPSTEAD-MONTREAL-OUEST,FYON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,322.799672313261400,2642.507749961835100,0.264250774996183,a- Moins de 1 ha,A
218,7444.000000000000000,LASALLE,PARENT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,608.753109313428010,18903.576559857909000,1.890357655985791,b. 1 à 5 ha,B
219,7439.000000000000000,LASALLE,MOHAWK,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1013.304684610038400,23797.041536844627000,2.379704153684463,b. 1 à 5 ha,B
220,7424.000000000000000,LASALLE,HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,651.200659178212390,10122.910432967697000,1.012291043296770,b. 1 à 5 ha,B
221,7436.000000000000000,LASALLE,MARRONI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.830697041886310,4914.249136865890300,0.491424913686589,a- Moins de 1 ha,A
222,7293.000000000000000,SAINT-LEONARD,PARC GIOVANNI-CABOTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,517.597515287400140,11149.471004891519000,1.114947100489152,b. 1 à 5 ha,B
223,7286.000000000000000,SAINT-LEONARD,PARC WILFRID-BASTIEN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,292.889094022138240,5353.487750030809400,0.535348775003081,a- Moins de 1 ha,A
228,7077.000000000000000,PIERREFONDS-SENNEVILLE,LABROSSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137.723965764529590,847.819700230434360,0.084781970023043,a- Moins de 1 ha,A
229,7414.000000000000000,PARCS NATURE,BOIS DE LIESSE,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,4,14471.814589491722000,1652859.851133120500000,165.285985113312050,e. 20 ha et plus,F
230,6753.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,CAPRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185.986044743359630,2160.144238884919100,0.216014423888492,a- Moins de 1 ha,A
231,6758.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,DOLLARD-DES-ORMEAUX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1192.715893825701600,78129.130725038704000,7.812913072503871,c. 5 à 10 ha,E
232,6695.000000000000000,BEACONSFIELD-BAIE D'URFE,BRIARWOOD,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,323.725979933443110,5355.652818142023500,0.535565281814202,a- Moins de 1 ha,A
252,7283.000000000000000,SAINT-LEONARD,PARC LADAUVERSI?RE,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,9,1303.069435832533600,70363.502349986011000,7.036350234998601,c. 5 à 10 ha,E
253,7433.000000000000000,LASALLE,LEFEBVRE,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,7,1644.736860839499100,69406.991950033669000,6.940699195003367,c. 5 à 10 ha,E
254,6700.000000000000000,BEACONSFIELD-BAIE D'URFE,CITY LANE,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1698.219260621740200,69132.503500019055000,6.913250350001905,c. 5 à 10 ha,E
255,6759.000000000000000,DOLLARD-DES ORMEAUX-ROXBORO,DU BOISE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1137.911663384085400,67602.510099982843000,6.760251009998284,c. 5 à 10 ha,E
256,7274.000000000000000,ROSEMONT-LA PETITE-PATRIE,PARC SAINTE-BERNADETTE,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1176.406619759899700,66090.009699983522000,6.609000969998352,c. 5 à 10 ha,E
257,7260.000000000000000,ROSEMONT-LA PETITE-PATRIE,PARC DU PELICAN,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,1279.094660649050400,65527.520199940693000,6.552752019994069,c. 5 à 10 ha,E
258,6875.000000000000000,LE PLATEAU-MONT-ROYAL,PARC ECOLE EDOUARD-VII,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166.892842295279020,1677.497250004671500,0.167749725000467,a- Moins de 1 ha,A
262,6692.000000000000000,BEACONSFIELD-BAIE D'URFE,BALSAM,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,462.724574973180100,13028.502899995074000,1.302850289999507,b. 1 à 5 ha,B
263,6667.000000000000000,AHUNSTIC-CARTIERVILLE,PARC SAINT-PAUL-DE-LA-CROIX,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,863.947089920903980,44902.020349970429000,4.490202034997043,b. 1 à 5 ha,C
264,6803.000000000000000,DORVAL,WINDSOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,892.713114344376890,44726.481550016339000,4.472648155001634,b. 1 à 5 ha,B
265,7023.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC LIEBERT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,875.611349110699620,44478.478250031942000,4.447847825003194,b. 1 à 5 ha,C
266,6693.000000000000000,BEACONSFIELD-BAIE D'URFE,BEACON HILL,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,9,1034.331421111647200,44303.988400024711000,4.430398840002471,b. 1 à 5 ha,D
267,7210.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,SAINT-JEAN-BAPTISTE,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,6,1031.513378768594300,44123.995850012048000,4.412399585001205,b. 1 à 5 ha,C
268,6861.000000000000000,LE PLATEAU-MONT-ROYAL,PARC BALDWIN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5,1749.010203519977000,73555.490800010637000,7.355549080001063,c. 5 à 10 ha,E
269,6725.000000000000000,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,PARC NOTRE-DAME-DE-GRACE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,881.734256461175620,43864.994350004599000,4.386499435000460,b. 1 à 5 ha,B
270,7659.000000000000000,POINTE-CLAIRE,BOURGEAU,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,8,928.964141877017370,43833.030399948359000,4.383303039994836,b. 1 à 5 ha,D
271,6734.000000000000000,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,PARC GILBERT-LAYTON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,963.281748860405290,42801.018049964339000,4.280101804996434,b. 1 à 5 ha,B
272,6669.000000000000000,AHUNSTIC-CARTIERVILLE,PARC DU SAULT-AU-RECOLLET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,986.673005554609630,42510.992300053083000,4.251099230005308,b. 1 à 5 ha,C
273,6677.000000000000000,ANJOU,DES ROSERAIES,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,906.091915213813190,36405.006449999040000,3.640500644999904,b. 1 à 5 ha,C
627,7358.000000000000000,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,RENE-GOUPIL,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,634.514557243707940,18476.712829295546000,1.847671282929555,b. 1 à 5 ha,C
628,7689.000000000000000,POINTE-CLAIRE,NEWTON SQUARE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,435.649619953366430,8556.499150001443900,0.855649915000144,a- Moins de 1 ha,A
629,6920.000000000000000,LE SUD-OUEST,PARC SAMMY HILL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,405.966049753383290,8552.509499988860600,0.855250949998886,a- Moins de 1 ha,A
